Customer_ID,Customer_Name,Industry,Region,City,Credit_Limit,Sales_Manager,Customer_Segment,Risk_Base_Score,Customer_Credit_Rating,Customer_Status
CUST0001,Zenith Industries,Manufacturing,East,Chennai,1500000,N. Verma,Mid-Market,35,B,Active
CUST0002,Gamma Solutions,Construction,West,Bengaluru,750000,P. Mehta,Mid-Market,64,C,Active
CUST0003,Apex Enterprises,FMCG,West,Hyderabad,2000000,V. Rao,Mid-Market,39,B,Active
CUST0004,Apex Solutions,Retail,North,Chennai,250000,N. Verma,Enterprise,73,D,Active
CUST0005,Beta Pharma,FMCG,South,Jaipur,1500000,K. Gupta,Enterprise,49,B,Active
CUST0006,Alpha Logistics,Pharma,North,Delhi,2000000,K. Gupta,Mid-Market,64,C,Active
CUST0007,Global Traders,IT Services,East,Mumbai,250000,P. Mehta,SME,56,C,Active
CUST0008,Global Solutions,FMCG,East,Hyderabad,1500000,A. Sharma,Enterprise,70,C,Active
CUST0009,Nova Retail,Construction,South,Bengaluru,500000,P. Mehta,Enterprise,19,A,Active
CUST0010,Alpha Traders,Healthcare,West,Chennai,3000000,N. Verma,SME,21,A,Active
CUST0011,Beta Traders,Healthcare,South,Pune,2000000,S. Kapoor,Mid-Market,42,B,Inactive
CUST0012,Prime Traders,Construction,West,Bengaluru,2000000,P. Mehta,SME,33,B,Active
CUST0013,Nova Traders,Automotive,East,Pune,250000,P. Mehta,SME,71,D,Active
CUST0014,Prime Solutions,Construction,North,Chennai,250000,K. Gupta,Enterprise,63,C,Active
CUST0015,Vertex Industries,Pharma,East,Bengaluru,1000000,R. Singh,Mid-Market,67,C,Active
CUST0016,Alpha Enterprises,Manufacturing,South,Pune,1500000,R. Singh,Enterprise,36,B,Active
CUST0017,Alpha Solutions,Retail,East,Kolkata,1000000,S. Kapoor,Mid-Market,74,D,Active
CUST0018,Nova Enterprises,Manufacturing,South,Bengaluru,2000000,S. Kapoor,Enterprise,65,C,Active
CUST0019,Prime Retail,FMCG,West,Delhi,750000,N. Verma,Enterprise,16,A,Active
CUST0020,Beta Retail,Pharma,North,Kolkata,1000000,N. Verma,SME,22,A,Active
CUST0021,Zenith Solutions,Pharma,East,Jaipur,1500000,S. Kapoor,SME,76,D,Active
CUST0022,Prime Pharma,FMCG,North,Chennai,3000000,P. Mehta,Enterprise,42,B,Active
CUST0023,Nova Retail,Automotive,North,Bengaluru,250000,S. Kapoor,Enterprise,66,C,Active
CUST0024,Vertex Foods,FMCG,South,Kolkata,1000000,A. Sharma,Mid-Market,64,C,Active
CUST0025,Nova Foods,FMCG,South,Kolkata,2000000,N. Verma,Enterprise,45,B,Active
CUST0026,Gamma Enterprises,FMCG,North,Hyderabad,1000000,R. Singh,SME,52,C,Active
CUST0027,Global Solutions,Retail,West,Jaipur,2000000,R. Singh,Mid-Market,17,A,Active
CUST0028,Beta Industries,Construction,East,Hyderabad,250000,S. Kapoor,Mid-Market,27,A,Active
CUST0029,Delta Industries,FMCG,North,Chennai,500000,A. Sharma,SME,53,C,Active
CUST0030,Prime Logistics,Healthcare,East,Bengaluru,1000000,P. Mehta,Mid-Market,33,B,Active
CUST0031,Vertex Industries,FMCG,East,Bengaluru,750000,N. Verma,SME,24,A,Active
CUST0032,Vertex Pharma,Pharma,East,Kolkata,750000,V. Rao,Mid-Market,45,B,Active
CUST0033,Apex Logistics,Retail,West,Pune,2000000,V. Rao,Mid-Market,35,B,Active
CUST0034,Beta Industries,IT Services,West,Kolkata,750000,R. Singh,SME,75,D,Active
CUST0035,Global Retail,Manufacturing,North,Jaipur,1500000,R. Singh,SME,15,A,Active
CUST0036,Apex Enterprises,IT Services,South,Hyderabad,2000000,P. Mehta,Mid-Market,61,C,Active
CUST0037,Alpha Logistics,FMCG,West,Kolkata,750000,S. Kapoor,Enterprise,80,D,Active
CUST0038,Apex Enterprises,FMCG,East,Mumbai,1000000,N. Verma,Mid-Market,70,C,Inactive
CUST0039,Prime Retail,IT Services,North,Bengaluru,3000000,S. Kapoor,SME,15,A,Active
CUST0040,Alpha Traders,Retail,North,Delhi,500000,P. Mehta,SME,64,C,Active
CUST0041,Nova Enterprises,Healthcare,North,Pune,750000,A. Sharma,SME,24,A,Active
CUST0042,Delta Logistics,Retail,West,Pune,250000,N. Verma,SME,37,B,Active
CUST0043,Alpha Enterprises,FMCG,East,Hyderabad,2000000,V. Rao,Mid-Market,43,B,Active
CUST0044,Delta Logistics,IT Services,East,Delhi,3000000,V. Rao,SME,50,B,Active
CUST0045,Delta Foods,Retail,East,Chennai,500000,V. Rao,SME,75,D,Active
CUST0046,Global Pharma,FMCG,West,Chennai,2000000,K. Gupta,SME,73,D,Active
CUST0047,Beta Retail,Healthcare,South,Mumbai,1500000,V. Rao,Enterprise,57,C,Active
CUST0048,Gamma Foods,Healthcare,East,Hyderabad,1500000,S. Kapoor,Enterprise,46,B,Active
CUST0049,Alpha Retail,Healthcare,South,Bengaluru,2000000,N. Verma,SME,43,B,Active
CUST0050,Vertex Industries,Automotive,West,Delhi,1000000,K. Gupta,Mid-Market,40,B,Active
CUST0051,Alpha Retail,Construction,North,Mumbai,3000000,R. Singh,Mid-Market,23,A,Active
CUST0052,Delta Retail,Retail,West,Hyderabad,1000000,S. Kapoor,SME,33,B,Active
CUST0053,Nova Foods,Healthcare,North,Hyderabad,750000,S. Kapoor,Enterprise,45,B,Active
CUST0054,Gamma Solutions,Manufacturing,North,Bengaluru,1500000,A. Sharma,Enterprise,66,C,Active
CUST0055,Beta Logistics,Healthcare,South,Pune,3000000,S. Kapoor,Enterprise,53,C,Active
CUST0056,Prime Foods,Pharma,South,Hyderabad,2000000,R. Singh,Enterprise,19,A,Active
CUST0057,Zenith Retail,Automotive,North,Bengaluru,2000000,K. Gupta,Enterprise,51,C,Active
CUST0058,Apex Foods,Pharma,North,Pune,750000,R. Singh,Mid-Market,66,C,Active
CUST0059,Alpha Solutions,FMCG,West,Bengaluru,2000000,P. Mehta,Enterprise,53,C,Active
CUST0060,Nova Foods,Automotive,West,Pune,500000,R. Singh,Mid-Market,26,A,Active
CUST0061,Prime Retail,Manufacturing,West,Bengaluru,250000,R. Singh,SME,37,B,Active
CUST0062,Prime Pharma,Automotive,South,Kolkata,500000,N. Verma,Mid-Market,66,C,Active
CUST0063,Vertex Industries,Automotive,West,Hyderabad,250000,R. Singh,Mid-Market,50,B,Active
CUST0064,Vertex Pharma,Automotive,West,Hyderabad,3000000,R. Singh,Mid-Market,16,A,Active
CUST0065,Beta Logistics,FMCG,South,Delhi,3000000,K. Gupta,Mid-Market,50,B,Active
CUST0066,Prime Logistics,Healthcare,West,Jaipur,750000,R. Singh,Mid-Market,68,C,Active
CUST0067,Vertex Solutions,FMCG,South,Delhi,500000,V. Rao,SME,71,D,Active
CUST0068,Nova Logistics,IT Services,North,Bengaluru,2000000,P. Mehta,Enterprise,42,B,Active
CUST0069,Apex Industries,Construction,West,Mumbai,2000000,N. Verma,Mid-Market,44,B,Active
CUST0070,Delta Retail,Healthcare,East,Delhi,500000,V. Rao,SME,15,A,Active
CUST0071,Beta Solutions,Construction,South,Hyderabad,500000,N. Verma,Enterprise,60,C,Active
CUST0072,Alpha Logistics,FMCG,South,Jaipur,250000,P. Mehta,Enterprise,73,D,Active
CUST0073,Beta Traders,Automotive,North,Mumbai,250000,V. Rao,Mid-Market,50,B,Active
CUST0074,Beta Industries,FMCG,East,Chennai,1000000,R. Singh,Enterprise,69,C,Active
CUST0075,Gamma Enterprises,Automotive,North,Bengaluru,500000,N. Verma,Enterprise,73,D,Active
CUST0076,Beta Enterprises,Automotive,West,Delhi,750000,S. Kapoor,SME,42,B,Active
CUST0077,Gamma Solutions,Pharma,North,Pune,250000,P. Mehta,Enterprise,21,A,Active
CUST0078,Alpha Enterprises,Retail,South,Pune,3000000,K. Gupta,Mid-Market,38,B,Active
CUST0079,Global Logistics,FMCG,North,Bengaluru,2000000,N. Verma,Mid-Market,48,B,Active
CUST0080,Alpha Pharma,FMCG,West,Bengaluru,750000,P. Mehta,Enterprise,15,A,Active
CUST0081,Alpha Foods,Construction,North,Chennai,1500000,R. Singh,Enterprise,38,B,Active
CUST0082,Global Pharma,IT Services,South,Chennai,500000,R. Singh,SME,74,D,Active
CUST0083,Prime Solutions,Pharma,South,Bengaluru,1000000,A. Sharma,Mid-Market,24,A,Active
CUST0084,Gamma Industries,Manufacturing,North,Hyderabad,500000,P. Mehta,Enterprise,79,D,Active
CUST0085,Delta Enterprises,FMCG,South,Chennai,3000000,A. Sharma,Mid-Market,33,B,Active
CUST0086,Delta Solutions,FMCG,East,Mumbai,750000,V. Rao,SME,25,A,Active
CUST0087,Zenith Traders,Healthcare,West,Kolkata,1500000,P. Mehta,SME,33,B,Active
CUST0088,Zenith Enterprises,Automotive,West,Mumbai,750000,A. Sharma,Mid-Market,78,D,Active
CUST0089,Beta Pharma,Automotive,East,Pune,750000,V. Rao,Mid-Market,41,B,Active
CUST0090,Gamma Pharma,Pharma,East,Kolkata,2000000,V. Rao,Mid-Market,62,C,Active
CUST0091,Nova Retail,Healthcare,North,Delhi,250000,P. Mehta,Enterprise,63,C,Active
CUST0092,Delta Retail,Healthcare,West,Delhi,750000,V. Rao,Enterprise,32,B,Active
CUST0093,Nova Logistics,Automotive,South,Mumbai,1000000,A. Sharma,Enterprise,53,C,Active
CUST0094,Apex Traders,FMCG,North,Bengaluru,1500000,V. Rao,SME,57,C,Active
CUST0095,Beta Logistics,Retail,North,Hyderabad,1500000,P. Mehta,Mid-Market,27,A,Active
CUST0096,Delta Foods,Manufacturing,South,Delhi,1500000,K. Gupta,SME,69,C,Active
CUST0097,Global Enterprises,Healthcare,North,Jaipur,250000,A. Sharma,Mid-Market,40,B,Active
CUST0098,Prime Pharma,Healthcare,West,Mumbai,1500000,K. Gupta,SME,77,D,Active
CUST0099,Gamma Solutions,FMCG,North,Jaipur,1000000,R. Singh,Enterprise,76,D,Active
CUST0100,Gamma Solutions,Retail,West,Bengaluru,1500000,V. Rao,Enterprise,44,B,Active
CUST0101,Delta Logistics,Healthcare,West,Mumbai,1000000,P. Mehta,SME,52,C,Active
CUST0102,Gamma Solutions,IT Services,West,Delhi,2000000,P. Mehta,Enterprise,79,D,Inactive
CUST0103,Apex Foods,IT Services,West,Pune,1500000,K. Gupta,Mid-Market,55,C,Active
CUST0104,Gamma Retail,Construction,North,Kolkata,3000000,R. Singh,Enterprise,22,A,Active
CUST0105,Beta Logistics,Manufacturing,North,Hyderabad,750000,A. Sharma,SME,19,A,Inactive
CUST0106,Beta Traders,Automotive,East,Mumbai,1500000,P. Mehta,Mid-Market,44,B,Active
CUST0107,Alpha Logistics,Manufacturing,West,Hyderabad,500000,K. Gupta,SME,78,D,Active
CUST0108,Global Enterprises,Pharma,North,Mumbai,750000,N. Verma,Enterprise,47,B,Active
CUST0109,Beta Solutions,Pharma,North,Mumbai,750000,N. Verma,Mid-Market,60,C,Active
CUST0110,Apex Traders,Automotive,West,Chennai,250000,K. Gupta,SME,48,B,Active
CUST0111,Gamma Industries,Manufacturing,South,Jaipur,500000,R. Singh,Enterprise,58,C,Active
CUST0112,Zenith Enterprises,Construction,East,Kolkata,1000000,N. Verma,Mid-Market,15,A,Inactive
CUST0113,Nova Foods,Retail,East,Hyderabad,750000,K. Gupta,Mid-Market,71,D,Active
CUST0114,Gamma Logistics,Construction,East,Pune,3000000,A. Sharma,Mid-Market,44,B,Active
CUST0115,Nova Solutions,Retail,North,Pune,1000000,V. Rao,Enterprise,75,D,Active
CUST0116,Vertex Logistics,Automotive,West,Hyderabad,1000000,A. Sharma,Enterprise,23,A,Inactive
CUST0117,Delta Enterprises,Manufacturing,South,Hyderabad,1500000,V. Rao,SME,22,A,Active
CUST0118,Beta Foods,Pharma,East,Jaipur,750000,K. Gupta,Mid-Market,33,B,Active
CUST0119,Apex Industries,Pharma,South,Kolkata,1500000,V. Rao,Mid-Market,73,D,Active
CUST0120,Global Logistics,Healthcare,North,Jaipur,750000,S. Kapoor,Mid-Market,16,A,Active
CUST0121,Zenith Enterprises,Automotive,East,Delhi,2000000,N. Verma,Mid-Market,21,A,Active
CUST0122,Apex Enterprises,Manufacturing,East,Jaipur,1500000,V. Rao,Mid-Market,67,C,Active
CUST0123,Global Retail,FMCG,West,Jaipur,1000000,R. Singh,Mid-Market,53,C,Active
CUST0124,Prime Traders,Manufacturing,North,Pune,2000000,P. Mehta,SME,38,B,Active
CUST0125,Zenith Enterprises,IT Services,North,Mumbai,3000000,K. Gupta,SME,24,A,Active
CUST0126,Delta Logistics,Pharma,North,Kolkata,1000000,N. Verma,Mid-Market,60,C,Active
CUST0127,Zenith Traders,IT Services,North,Kolkata,2000000,V. Rao,SME,40,B,Active
CUST0128,Gamma Logistics,Automotive,South,Jaipur,1500000,K. Gupta,Mid-Market,27,A,Active
CUST0129,Delta Industries,Healthcare,East,Chennai,750000,A. Sharma,SME,50,B,Active
CUST0130,Delta Retail,Pharma,North,Hyderabad,1000000,R. Singh,Mid-Market,26,A,Active
CUST0131,Beta Logistics,Pharma,West,Mumbai,750000,N. Verma,SME,43,B,Active
CUST0132,Apex Traders,Retail,South,Mumbai,1000000,V. Rao,SME,51,C,Active
CUST0133,Apex Industries,Healthcare,North,Jaipur,3000000,K. Gupta,Mid-Market,66,C,Active
CUST0134,Gamma Logistics,Retail,West,Hyderabad,1500000,S. Kapoor,Enterprise,48,B,Active
CUST0135,Vertex Retail,Automotive,East,Mumbai,750000,S. Kapoor,Enterprise,41,B,Active
CUST0136,Global Traders,Automotive,South,Jaipur,1500000,R. Singh,Mid-Market,77,D,Active
CUST0137,Prime Pharma,IT Services,North,Delhi,250000,K. Gupta,Enterprise,48,B,Active
CUST0138,Beta Industries,Healthcare,South,Jaipur,1500000,K. Gupta,SME,37,B,Active
CUST0139,Beta Solutions,Automotive,East,Hyderabad,500000,N. Verma,Enterprise,45,B,Active
CUST0140,Prime Pharma,Automotive,West,Jaipur,500000,S. Kapoor,SME,79,D,Active
CUST0141,Nova Traders,Construction,South,Bengaluru,3000000,S. Kapoor,Mid-Market,28,A,Active
CUST0142,Alpha Solutions,Manufacturing,East,Pune,500000,R. Singh,Mid-Market,57,C,Active
CUST0143,Alpha Solutions,Manufacturing,North,Kolkata,1500000,K. Gupta,Mid-Market,34,B,Active
CUST0144,Zenith Traders,Retail,West,Kolkata,750000,A. Sharma,Enterprise,40,B,Active
CUST0145,Gamma Solutions,Healthcare,North,Mumbai,1500000,A. Sharma,Enterprise,18,A,Active
CUST0146,Vertex Foods,Healthcare,West,Pune,250000,V. Rao,Enterprise,62,C,Active
CUST0147,Delta Pharma,Manufacturing,North,Delhi,2000000,K. Gupta,SME,29,A,Active
CUST0148,Nova Retail,FMCG,South,Kolkata,750000,R. Singh,Mid-Market,37,B,Active
CUST0149,Prime Solutions,Construction,West,Bengaluru,250000,A. Sharma,Mid-Market,60,C,Active
CUST0150,Nova Traders,FMCG,West,Jaipur,1500000,K. Gupta,SME,62,C,Active
CUST0151,Delta Traders,Construction,South,Pune,250000,N. Verma,SME,39,B,Active
CUST0152,Beta Logistics,Construction,East,Kolkata,250000,K. Gupta,Mid-Market,30,A,Active
CUST0153,Zenith Traders,Retail,West,Mumbai,2000000,V. Rao,Enterprise,77,D,Active
CUST0154,Prime Traders,Construction,South,Hyderabad,2000000,S. Kapoor,Mid-Market,70,C,Active
CUST0155,Vertex Industries,FMCG,East,Chennai,1000000,A. Sharma,SME,69,C,Active
CUST0156,Beta Enterprises,Manufacturing,North,Mumbai,2000000,S. Kapoor,Mid-Market,78,D,Active
CUST0157,Global Industries,FMCG,East,Bengaluru,750000,P. Mehta,Mid-Market,37,B,Active
CUST0158,Beta Enterprises,Construction,West,Pune,750000,K. Gupta,SME,67,C,Active
CUST0159,Apex Industries,Healthcare,North,Chennai,750000,N. Verma,Enterprise,69,C,Active
CUST0160,Zenith Retail,IT Services,South,Jaipur,750000,K. Gupta,Enterprise,62,C,Active
CUST0161,Prime Industries,Automotive,West,Hyderabad,3000000,K. Gupta,SME,31,B,Active
CUST0162,Zenith Solutions,IT Services,South,Hyderabad,250000,P. Mehta,Mid-Market,38,B,Active
CUST0163,Alpha Logistics,IT Services,North,Jaipur,750000,P. Mehta,Mid-Market,55,C,Active
CUST0164,Vertex Traders,Automotive,South,Jaipur,2000000,P. Mehta,SME,70,C,Active
CUST0165,Beta Industries,Construction,East,Hyderabad,750000,R. Singh,Mid-Market,72,D,Inactive
CUST0166,Nova Pharma,FMCG,East,Bengaluru,750000,V. Rao,Enterprise,28,A,Active
CUST0167,Apex Enterprises,Automotive,West,Jaipur,2000000,A. Sharma,Mid-Market,16,A,Active
CUST0168,Delta Foods,Pharma,East,Chennai,500000,K. Gupta,SME,57,C,Active
CUST0169,Gamma Industries,Automotive,East,Jaipur,250000,R. Singh,SME,62,C,Active
CUST0170,Vertex Traders,FMCG,North,Bengaluru,250000,V. Rao,Mid-Market,73,D,Active
CUST0171,Apex Enterprises,Pharma,West,Hyderabad,500000,P. Mehta,SME,17,A,Active
CUST0172,Prime Foods,Automotive,South,Kolkata,250000,K. Gupta,Mid-Market,34,B,Active
CUST0173,Apex Foods,Healthcare,North,Bengaluru,1500000,S. Kapoor,Enterprise,59,C,Active
CUST0174,Zenith Traders,FMCG,South,Mumbai,2000000,V. Rao,SME,52,C,Active
CUST0175,Gamma Foods,Construction,North,Delhi,2000000,K. Gupta,Mid-Market,48,B,Active
CUST0176,Delta Industries,Manufacturing,West,Delhi,500000,K. Gupta,Mid-Market,61,C,Inactive
CUST0177,Apex Foods,IT Services,South,Kolkata,3000000,R. Singh,Enterprise,24,A,Active
CUST0178,Nova Pharma,IT Services,West,Jaipur,1000000,N. Verma,Mid-Market,65,C,Active
CUST0179,Prime Pharma,FMCG,North,Hyderabad,2000000,S. Kapoor,SME,25,A,Active
CUST0180,Gamma Traders,FMCG,West,Mumbai,2000000,P. Mehta,SME,28,A,Active
CUST0181,Beta Logistics,Retail,South,Mumbai,2000000,V. Rao,Enterprise,15,A,Active
CUST0182,Prime Pharma,Retail,South,Jaipur,3000000,S. Kapoor,Mid-Market,25,A,Active
CUST0183,Alpha Pharma,Construction,West,Hyderabad,1000000,P. Mehta,Mid-Market,50,B,Inactive
CUST0184,Beta Foods,FMCG,North,Mumbai,3000000,S. Kapoor,Mid-Market,60,C,Active
CUST0185,Global Traders,Pharma,North,Mumbai,1500000,V. Rao,SME,41,B,Active
CUST0186,Zenith Logistics,FMCG,East,Jaipur,2000000,S. Kapoor,Enterprise,71,D,Active
CUST0187,Vertex Enterprises,Pharma,East,Jaipur,500000,P. Mehta,Enterprise,51,C,Active
CUST0188,Prime Enterprises,Construction,West,Delhi,750000,S. Kapoor,SME,18,A,Active
CUST0189,Alpha Industries,Healthcare,East,Mumbai,2000000,S. Kapoor,Mid-Market,78,D,Active
CUST0190,Apex Pharma,Automotive,East,Chennai,500000,K. Gupta,Mid-Market,80,D,Active
CUST0191,Global Logistics,Manufacturing,West,Pune,500000,R. Singh,SME,15,A,Active
CUST0192,Prime Logistics,Construction,West,Jaipur,500000,A. Sharma,SME,49,B,Active
CUST0193,Prime Solutions,Pharma,South,Kolkata,750000,S. Kapoor,Mid-Market,43,B,Inactive
CUST0194,Prime Solutions,Construction,South,Bengaluru,750000,A. Sharma,Enterprise,65,C,Active
CUST0195,Nova Pharma,FMCG,South,Bengaluru,1000000,K. Gupta,SME,47,B,Active
CUST0196,Beta Traders,Manufacturing,East,Mumbai,500000,R. Singh,Mid-Market,19,A,Active
CUST0197,Alpha Logistics,Pharma,South,Chennai,1500000,S. Kapoor,SME,78,D,Active
CUST0198,Vertex Enterprises,Manufacturing,East,Pune,500000,S. Kapoor,Mid-Market,80,D,Active
CUST0199,Beta Traders,Retail,West,Hyderabad,2000000,A. Sharma,Enterprise,60,C,Active
CUST0200,Delta Industries,Manufacturing,North,Bengaluru,2000000,P. Mehta,Mid-Market,51,C,Active
CUST0201,Gamma Logistics,Manufacturing,East,Jaipur,3000000,S. Kapoor,SME,63,C,Active
CUST0202,Zenith Retail,Manufacturing,East,Jaipur,250000,N. Verma,Enterprise,46,B,Active
CUST0203,Zenith Industries,Automotive,South,Chennai,2000000,R. Singh,SME,57,C,Active
CUST0204,Zenith Industries,FMCG,North,Delhi,250000,A. Sharma,SME,53,C,Active
CUST0205,Global Industries,Healthcare,South,Jaipur,3000000,P. Mehta,SME,31,B,Active
CUST0206,Global Pharma,Manufacturing,South,Delhi,2000000,A. Sharma,SME,68,C,Active
CUST0207,Beta Logistics,Construction,East,Jaipur,250000,V. Rao,Enterprise,18,A,Active
CUST0208,Nova Enterprises,Construction,North,Jaipur,3000000,K. Gupta,Mid-Market,56,C,Active
CUST0209,Prime Logistics,Automotive,South,Bengaluru,1500000,V. Rao,Enterprise,19,A,Inactive
CUST0210,Vertex Foods,IT Services,South,Delhi,3000000,R. Singh,Mid-Market,21,A,Active
CUST0211,Global Retail,Automotive,North,Mumbai,250000,S. Kapoor,SME,15,A,Active
CUST0212,Beta Logistics,Automotive,East,Hyderabad,1500000,N. Verma,Enterprise,55,C,Active
CUST0213,Global Enterprises,Pharma,North,Chennai,2000000,K. Gupta,SME,24,A,Active
CUST0214,Nova Logistics,FMCG,South,Chennai,750000,A. Sharma,SME,56,C,Active
CUST0215,Zenith Foods,Construction,West,Bengaluru,250000,A. Sharma,SME,69,C,Active
CUST0216,Gamma Logistics,Healthcare,East,Delhi,3000000,K. Gupta,Enterprise,60,C,Active
CUST0217,Vertex Industries,Manufacturing,East,Delhi,500000,A. Sharma,Enterprise,15,A,Active
CUST0218,Zenith Industries,Automotive,North,Pune,3000000,K. Gupta,SME,48,B,Active
CUST0219,Zenith Pharma,IT Services,West,Delhi,500000,N. Verma,Mid-Market,45,B,Active
CUST0220,Apex Solutions,FMCG,East,Mumbai,1500000,K. Gupta,Mid-Market,37,B,Active
CUST0221,Zenith Enterprises,Construction,West,Kolkata,250000,P. Mehta,Enterprise,61,C,Active
CUST0222,Gamma Retail,Healthcare,East,Pune,3000000,K. Gupta,Enterprise,33,B,Active
CUST0223,Nova Solutions,Automotive,East,Mumbai,500000,K. Gupta,SME,61,C,Active
CUST0224,Vertex Foods,Pharma,West,Pune,2000000,P. Mehta,Mid-Market,54,C,Active
CUST0225,Nova Enterprises,IT Services,East,Bengaluru,1500000,P. Mehta,SME,60,C,Active
CUST0226,Delta Foods,Construction,North,Delhi,750000,S. Kapoor,Mid-Market,31,B,Active
CUST0227,Gamma Industries,Automotive,West,Delhi,2000000,R. Singh,Enterprise,71,D,Active
CUST0228,Global Industries,FMCG,North,Pune,250000,K. Gupta,Mid-Market,20,A,Active
CUST0229,Zenith Logistics,FMCG,East,Mumbai,750000,V. Rao,SME,69,C,Active
CUST0230,Alpha Enterprises,Construction,North,Jaipur,1000000,K. Gupta,Mid-Market,27,A,Active
CUST0231,Vertex Traders,Construction,West,Hyderabad,3000000,S. Kapoor,Mid-Market,29,A,Active
CUST0232,Nova Retail,IT Services,West,Mumbai,1000000,P. Mehta,SME,52,C,Active
CUST0233,Apex Traders,FMCG,North,Delhi,1500000,A. Sharma,Mid-Market,44,B,Active
CUST0234,Nova Retail,Manufacturing,West,Chennai,500000,P. Mehta,SME,20,A,Active
CUST0235,Prime Solutions,Manufacturing,East,Bengaluru,3000000,K. Gupta,SME,46,B,Active
CUST0236,Nova Industries,IT Services,North,Kolkata,500000,P. Mehta,SME,16,A,Active
CUST0237,Apex Traders,IT Services,South,Chennai,1500000,V. Rao,Mid-Market,42,B,Active
CUST0238,Global Retail,Construction,South,Chennai,2000000,K. Gupta,Mid-Market,24,A,Active
CUST0239,Alpha Traders,Pharma,East,Bengaluru,500000,P. Mehta,SME,45,B,Active
CUST0240,Global Retail,IT Services,East,Hyderabad,1000000,R. Singh,SME,48,B,Active
CUST0241,Delta Logistics,FMCG,North,Mumbai,750000,K. Gupta,SME,46,B,Active
CUST0242,Apex Enterprises,Construction,South,Hyderabad,750000,P. Mehta,SME,35,B,Inactive
CUST0243,Beta Pharma,Manufacturing,South,Kolkata,750000,A. Sharma,Mid-Market,27,A,Active
CUST0244,Gamma Pharma,FMCG,West,Bengaluru,3000000,A. Sharma,Mid-Market,32,B,Active
CUST0245,Delta Logistics,IT Services,East,Kolkata,1500000,A. Sharma,SME,16,A,Active
CUST0246,Gamma Logistics,FMCG,East,Kolkata,750000,N. Verma,SME,33,B,Active
CUST0247,Zenith Enterprises,Pharma,South,Delhi,250000,K. Gupta,Mid-Market,73,D,Active
CUST0248,Beta Solutions,IT Services,North,Chennai,3000000,S. Kapoor,Mid-Market,24,A,Active
